iter	Passed	Remaining
0	141	13986
1	146	7197
2	152	4929
3	156	3755
4	161	3064
5	166	2602
6	170	2267
7	175	2013
8	179	1814
9	183	1654
10	187	1518
11	192	1408
12	196	1317
13	203	1248
14	207	1177
15	212	1114
16	216	1055
17	220	1005
18	224	958
19	229	916
20	233	877
21	237	841
22	240	806
23	243	771
24	246	740
25	250	712
26	254	689
27	259	667
28	263	645
29	267	623
30	270	602
31	273	581
32	276	561
33	279	542
34	282	523
35	284	506
36	287	489
37	289	472
38	291	456
39	294	441
40	296	426
41	297	411
42	299	397
43	301	383
44	303	370
45	304	357
46	306	345
47	308	333
48	309	322
49	311	311
50	313	301
51	315	290
52	316	281
53	318	271
54	320	262
55	322	253
56	323	244
57	325	235
58	327	227
59	329	219
60	331	211
61	332	204
62	334	196
63	336	189
64	337	181
65	339	174
66	341	168
67	343	161
68	344	154
69	346	148
70	348	142
71	350	136
72	351	130
73	353	124
74	355	118
75	357	112
76	359	107
77	361	101
78	362	96
79	364	91
80	366	85
81	367	80
82	369	75
83	371	70
84	373	65
85	375	61
86	376	56
87	378	51
88	380	47
89	382	42
90	384	38
91	386	33
92	388	29
93	390	24
94	392	20
95	394	16
96	395	12
97	397	8
98	399	4
99	401	0
